"Song"|"Artists"|"Year"|"ArtistRank"|"SongsId"|"ArtistsId"|"albumID"
"Blurred Lines"|"Robin Thicke & T.I. & Pharrell Williams"|0|101|"0d1URWdWqWstm2O0EsPMfs"|"0ZrpamOxcZybMHGg1AYtHP,4OBJLual30L7gRl5UkeRcT,2RdwBSPQiwcmiDo9kixcl8"|"1hfzFC0ysDMJy1yzRBYmCX"
"Lean On"|"Major Lazer & DJ Snake"|0|101|"5kISWfzPFTvhb7eUs35nMW"|"738wLrAtLtCtFOLvQBXOXp,0bdfiayQAKewqEvaU6rXCv,540vIaP2JwjQb9dm3aArA4,1vyhD5VmyZ7KMfW5gqLgo5,329e4yvIujISKGKz1BZZbO"|"7dGgwByFn57Fg9FVng8aZh"
"Counting Stars"|"OneRepublic"|0|101|"6sy3LkhNFjJWlaeSMNwQ62"|"5Pwc4xIPtQLFEnJriah9YJ"|"2bbhW5ifCwOYM8DMkqoYBF"
"Sweet But Psycho"|"Ava Max"|0|101|"25sgk305KZfyuqVBQIahim"|"4npEfmQ6YuiwW1GpUmaq3F"|"7CdLU3GgPy1PH5FVsrPlyA"
"Sorry"|"Justin Bieber"|0|101|"09CtPGIpYB4BrO8qb1RGsF"|"1uNFoZAHBGtllmzznpCI3s"|"6Fr2rQkZ383FcMqFyT7yPr"
"Dont Let Me Down"|"The Chainsmokers & Daya"|0|101|"4s2rzq6ZpCfg5ODq0z79QG"|"69GGBxA162lTqCwzJG5jLp,6Dd3NScHWwnW6obMFbl1BH,2rTo8KIkBTFjQS7VvaKYQ4"|"5yhNY3zM1Vx1oaL3GYTWIZ"
"Someone Like You"|"Adele"|0|101|"4kflIGfjdZJW4ot2ioixTB"|"4dpARuHxo51G3z768sgnrY"|"1azUkThwd2HfUDdeNeT147"
"Better Now"|"Post Malone"|0|101|"7dt6x5M1jzdTEt8oCbisTK"|"246dkjvS1zLTtiykXe5h60"|"6trNtQUgC8cgbWcqoMYkOR"
"Sicko Mode"|"Travis Scott"|0|101|"2xLMifQCjDGFmkHkpNLD9h"|"0Y5tJX1MQlPlqiwlOH1tJY"|"41GuZcammIkupMPKH2OJ6I"
"All I Want For Christmas Is You"|"Mariah Carey"|0|101|"4I5Hn34v6foGP3ta9Xx0rN"|"4iHNK0tOyZPYnBU7nGAgpQ,46sXMHr9eHJYyO6uu0Jdeh"|"0cS9prZ8u3fdbc7lmtCaMV"
